id,label,kind,layer,ideology,magnitude,ein,source_url,notes,logo,country,slices,n_slices,communities,community_primary
institution:inst-001,"80,000 Hours",project,project,,36,,https://80000hours.org/2025/05/80000-hours-completes-spin-out-from-effective-ventures/,"In its May 28, 2025 announcement, 80,000 Hours described itself as an independent organisation following completion of its spin-out from Effective Ventures. It said its mission is to help people use their careers to solve the world’s most pressing problems, with a recently sharpened focus on careers that can help make AI go well. The announcement described 80,000 Hours Limited as housing its websi",institution:inst-001,,all,1,ea|safety|gov|fund,ea
institution:inst-002,AI Risk Mitigation Fund,project,project,,4,,https://www.airiskfund.com/grantmaking-process,"The AI Risk Mitigation Fund is a project of Effective Ventures Foundation. On its undated About page, it describes its mission as mitigating catastrophic risks from transformative AI and says that donations designated for the fund are granted, less payment-processor fees, to organizations and individuals recommended by its grantmakers for AI-safety projects.",institution:inst-002,,all,1,fund|safety|gov,fund
person_source_local:coefficient-giving:CG-PE043,Ajeya Cotra,person,person,,21,,https://metr.org/team/ajeya-cotra/,"Ajeya Cotra is a METR technical staff member working on threat modeling and risk assessment concerning loss-of-control risks from advanced AI. She previously held several roles at Coefficient Giving, including leading its technical AI safety program in 2024 and contributing to strategy for its AI giving in 2025. She holds a degree in Electrical Engineering and Computer Sciences from UC Berkeley.",person_source_local:coefficient-giving:CG-PE043,,all,1,safety|rat|gov,safety
institution:inst-003,Alignment Research Center,org,org,,25,86-3605182,https://projects.propublica.org/nonprofits/organizations/863605182,"Alignment Research Center (ARC) describes itself as a non-profit research organization pursuing alignment of future machine-learning systems with human interests. In its March 2, 2023 About section, ARC says its work focuses on theoretical foundations for mechanistic explanations of neural-network behavior and on algorithms that predict behavior from network weights rather than extensive sampling.",institution:inst-003,,all,1,safety,safety
institution:inst-004,Animal Charity Evaluators,org,org,,15,36-4684978,https://animalcharityevaluators.org/transparency/,"Animal Charity Evaluators (ACE) is a nonprofit public charity that, in its undated About page, describes using evidence and reason to help people support animals. It identifies donation opportunities through charity evaluations and publishes recommended charities; it also awards grants through its Recommended Charity Fund and Movement Grants programs to projects intended to help animals and streng",institution:inst-004,,all,1,ea,ea
institution:inst-070,Anthropic,org,org,,40,,https://assets.anthropic.com/m/983c85a201a962f/original/Alignment-Faking-in-Large-Language-Models-full-paper.pdf,"In its 2021 announcement, Anthropic describes itself as an AI safety and research company developing more reliable and steerable AI systems.",institution:inst-070,,all,1,safety,safety
institution:inst-005,Apart Research,org,org,,13,,https://apartresearch.com/fellowships,"Apart Research is an AI-safety research organization that, on its website, describes publishing open evaluations, benchmarks, and interpretability work on frontier AI systems and running sprints, fellowships, and Lab Studio programs. Its stated research focus includes work intended to support safe and beneficial advanced-AI development; the site also presents research related to enforcement of the",institution:inst-005,,all,1,safety,safety
institution:inst-006,Apollo Research,org,org,,28,,https://manifund.org/projects/apollo-research-scale-up-interpretability--behavioral-model-evals-research,"Apollo Research is an AI-safety research organization focused, in its account, on securing frontier AI systems across development, deployment, and governance, with particular attention to risks from frontier AI systems that covertly pursue misaligned objectives (“scheming”). Its dated 2023–2026 account describes research and evaluations of frontier models, policy engagement on AI risks, and develo",institution:inst-006,,all,1,safety,safety
institution:inst-076,ARC Evals,project,project,,17,,https://metr.org/blog/2023-09-19-spin-out-announcement/,Historical ARC evaluation program prior to the METR spinout; not treated as a separate pre-spinout legal entity.,institution:inst-076,,all,1,safety,safety
institution:inst-007,Asterisk Magazine,project,project,,2,92-2954169,https://asteriskmag.com/about,"Asterisk Magazine is a San Francisco Bay Area–oriented magazine that, on its undated About page, describes publishing long-form interviews and essays that put scenes and subcultures into conversation. It offers four themed print issues per year and operates Dagger as its blog; the page identifies Obelus, Inc., a registered 501(c)(3) nonprofit, as its publisher.",institution:inst-007,,all,1,,
