source,target,relation,confidence,directed,label,source_url,slices,evidence,receipt,edge_class
discovery_source_local:ND002-001,institution:inst-016,formerly_had_role_at,confirmed,yes,former founding director,https://www.rand.org/about/people/m/matheny_jason.html,all,"Archived/source-attributed role, not verified current tenure. Operating institutional affiliation, not proof of exact legal payroll employer, ideology or funding control.",https://www.rand.org/about/people/m/matheny_jason.html,EMPLOYMENT
discovery_source_local:ND002-001,institution:inst-052,co_led_collaboration_with,confirmed,yes,Jason Matheny / METR,https://audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,all,"Canary, a collaboration between METR and RAND",https://audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,COLLAB
discovery_source_local:ND002-001,institution:inst-057,governance_or_employment_biography,confirmed,yes,Governance Or Employment Biography,https://www.rand.org/about/people/m/matheny_jason.html,all,Jason Matheny is president and chief executive officer of RAND,https://www.rand.org/about/people/m/matheny_jason.html https://www.rand.org/about/leadership.html https://www.rand.org/content/dam/rand/pubs/testimonies/CTA2800/CTA2824-1/RAND_CTA2824-1.pdf https://www.rand.org/content/dam/rand/pubs/testimonies/CTA2700/CTA2723-1/RAND_CTA2723-1.pdf https://www.anthropic.com/news/the-long-term-benefit-trust https://www.rand.org/content/dam/rand/pubs/corporate_pubs/CPA600/CPA682-13/RAND_CPA682-13.pdf https://thebulletin.org/2008/09/how-can-we-reduce-the-risk-of-human-extinction/ https://www.govinfo.gov/content/pkg/GOVPUB-Y4_C73_7-PURL-gpo233961/pdf/GOVPUB-Y4_C73_7-PURL-gpo233961.pdf https://www.rand.org/about/people/m/matheny_jason.html,GOVERNANCE
discovery_source_local:ND002-001,institution:inst-070,trustee_of,confirmed,yes,Jason Matheny / Anthropic,https://www.anthropic.com/news/the-long-term-benefit-trust,all,The initial Trustees are: Jason Matheny: CEO of the RAND Corporation,https://www.anthropic.com/news/the-long-term-benefit-trust,GOVERNANCE
discovery_source_local:ND002-001,institution:inst-077,project_lead,confirmed,yes,Project Lead,https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,all,"Jason Matheny is listed as a project lead for Canary, a collaboration between METR and RAND.",https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand https://www.audaciousproject.org/grantees/project-canary-a-collaboration-between-metr-and-rand,EMPLOYMENT
discovery_source_local:ND002-001,institution:inst-081,led_grantee_of,confirmed,yes,Jason Matheny / Open Philanthropy,https://www.effectivealtruism.org/articles/march-2019-ea-newsletter,all,The Open Philanthropy Project has made its largest grant to date: $55 million to the Center for Security and Emerging Technology... CSET will be led by Jason Matheny,https://www.effectivealtruism.org/articles/march-2019-ea-newsletter,FINANCIAL
discovery_source_local:ND002-002,discovery_source_local:ND004-001,collaborated_with,confirmed,yes,Lisa Thiergart / Thomas Larsen,https://intelligence.org/wp-content/uploads/2024/12/Misalignment_and_Catastrophe.pdf,all,We would like to thank Lisa Thiergart for managing this project. Many thanks to ... Thomas Larsen ... for helpful discussion and feedback.,https://intelligence.org/wp-content/uploads/2024/12/Misalignment_and_Catastrophe.pdf,COLLAB
discovery_source_local:ND002-002,institution:inst-050,public_regrantor_budget_roster,confirmed,yes,Public Regrantor Budget Roster,https://manifund.org/about/regranting,all,Lisa Thiergart $100K budget · 0 grants,https://manifund.org/about/regranting https://manifund.org/about/regranting-data https://manifund.org/about/regranting https://manifund.org/about/regranting-data,FINANCIAL
discovery_source_local:ND002-002,institution:inst-053,former_research_lead_at,confirmed,yes,MATS’s biography says Lisa Thiergart was a MIRI research lead and founded and led its technical governance team.,https://www.matsprogram.org/mentor/thiergart,all,Historical role; no merge of MATS program and legal operator. No new person merge; endpoints retain released source-local identities. No Incorporated legal-employer claim; no precise dates; preserve prior SL5 chronology.,https://www.matsprogram.org/mentor/thiergart,EMPLOYMENT
discovery_source_local:ND002-002,institution_candidate_source_local:INSTITUTION005-002,chief_executive,confirmed,yes,Chief Executive,https://www.matsprogram.org/mentor/thiergart,all,Lisa is the CEO of Security Level 5,https://www.matsprogram.org/mentor/thiergart https://www.matsprogram.org/mentor/thiergart,EMPLOYMENT
